"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Apr-2021","30 D % CHNG 
 04-Mar-2022"
"NIFTY 50","18,080.60","18,095.45","17,921.55","18,053.40","17,957.40","-96.00","-0.53",283453612,"250,965,704,217.04","18,604.45","14,151.40","21.43","11.13"
"ADANIPORTS","840.00","860.90","826.00","818.55","844.05","25.50","3.12",21090646,"17,854,708,184.22","901.00","638.10","11.18","16.91"
"NTPC","145.40","150.60","144.75","144.30","148.40","4.10","2.84",23958626,"3,536,293,197.60","152.10","97.05","33.73","10.83"
"TATAMOTORS","450.00","461.90","448.30","446.75","457.30","10.55","2.36",28530470,"13,060,963,861.30","536.70","268.45","45.17","7.07"
"POWERGRID","229.95","234.60","226.90","227.40","232.40","5.00","2.20",12875616,"2,963,065,510.08","234.60","148.88","3.98","5.74"
"TATACONSUM","791.00","810.00","788.20","788.10","804.00","15.90","2.02",2912280,"2,328,193,123.20","889.00","614.00","21.22","17.64"
"ONGC","170.25","172.75","169.30","168.05","171.35","3.30","1.96",20054934,"3,433,404,700.80","194.95","97.45","61.04","1.69"
"EICHERMOT","2,525.00","2,600.00","2,510.00","2,508.95","2,550.00","41.05","1.64",1240010,"3,186,999,301.40","2,994.00","2,159.55","-4.64","7.25"
"ITC","256.05","261.85","255.10","255.45","259.00","3.55","1.39",27183142,"7,037,715,463.80","265.30","199.10","16.09","13.28"
"GRASIM","1,688.00","1,712.00","1,669.55","1,679.70","1,702.60","22.90","1.36",1201340,"2,040,475,990.00","1,929.80","1,262.00","15.48","13.68"
"UPL","791.95","800.65","790.30","784.35","795.00","10.65","1.36",2326745,"1,849,040,984.05","864.70","581.30","20.00","9.89"
"SHREECEM","24,720.00","25,270.00","24,682.50","24,765.05","25,100.00","334.95","1.35",32602,"817,816,931.74","32,048.00","21,650.00","-17.32","9.82"
"TITAN","2,532.00","2,577.80","2,520.05","2,517.00","2,549.90","32.90","1.31",1586304,"4,049,596,166.40","2,768.00","1,400.05","61.41","3.11"
"TCS","3,772.00","3,835.60","3,772.00","3,770.35","3,812.50","42.15","1.12",2314947,"8,826,962,359.41","4,043.00","3,004.00","19.13","6.98"
"BAJAJ-AUTO","3,765.00","3,819.95","3,765.00","3,763.65","3,804.15","40.50","1.08",339228,"1,288,700,033.76","4,347.00","3,027.05","0.55","16.09"
"BRITANNIA","3,280.00","3,314.95","3,271.90","3,270.00","3,304.70","34.70","1.06",236853,"780,996,713.67","4,153.00","3,050.00","-9.63","-3.01"
"NESTLEIND","17,826.00","18,060.00","17,718.40","17,820.15","17,983.15","163.00","0.91",39782,"713,666,006.44","20,609.15","16,255.00","4.31","2.46"
"HEROMOTOCO","2,329.90","2,352.65","2,315.00","2,311.75","2,328.00","16.25","0.70",715666,"1,671,416,473.02","3,090.00","2,146.85","-21.80","0.02"
"HCLTECH","1,190.00","1,203.00","1,184.10","1,187.05","1,194.90","7.85","0.66",2634464,"3,152,346,933.12","1,377.75","891.00","18.40","4.27"
"ASIANPAINT","3,110.00","3,157.00","3,080.00","3,118.00","3,138.00","20.00","0.64",805874,"2,527,293,392.66","3,590.00","2,484.50","22.19","13.87"
"HINDUNILVR","2,144.50","2,158.00","2,127.00","2,128.45","2,137.00","8.55","0.40",1277652,"2,738,723,721.12","2,859.30","1,901.55","-11.28","5.39"
"LT","1,840.00","1,845.00","1,827.00","1,826.35","1,832.90","6.55","0.36",1718581,"3,154,988,185.61","2,078.55","1,306.00","26.43","6.69"
"M&M","837.00","852.00","833.70","833.70","835.80","2.10","0.25",2669967,"2,247,177,725.55","979.00","671.15","3.23","13.85"
"SUNPHARMA","928.00","940.70","924.15","926.05","927.90","1.85","0.20",2911697,"2,710,207,567.60","940.70","592.75","51.63","11.62"
"TATASTEEL","1,348.45","1,358.00","1,329.25","1,341.90","1,344.00","2.10","0.16",6329642,"8,501,532,059.46","1,534.50","837.15","55.48","5.07"
"JSWSTEEL","737.90","746.00","730.15","732.70","733.65","0.95","0.13",3524949,"2,597,499,668.61","776.50","503.20","44.02","15.94"
"DRREDDY","4,338.90","4,408.00","4,302.75","4,317.15","4,317.35","0.20","-",479865,"2,091,030,932.10","5,614.60","3,654.00","-5.90","12.76"
"COALINDIA","188.00","188.95","186.85","187.75","187.50","-0.25","-0.13",7637664,"1,433,665,909.44","203.80","123.40","42.07","3.73"
"HINDALCO","590.95","590.95","582.05","587.50","586.00","-1.50","-0.26",7065571,"4,137,457,066.18","636.00","331.60","67.74","0.63"
"WIPRO","605.45","609.50","598.05","605.60","599.00","-1.60","-0.27",6431244,"3,870,901,451.16","739.85","412.60","45.44","5.27"
"BPCL","381.00","382.00","376.55","380.20","379.00","-1.20","-0.32",3311172,"1,257,351,343.56","503.00","331.10","-13.08","9.14"
"BHARTIARTL","767.80","773.80","761.00","767.80","764.90","-2.90","-0.38",3990794,"3,061,697,248.86","781.80","509.50","47.43","17.45"
"AXISBANK","776.00","796.00","776.00","784.10","781.00","-3.10","-0.40",7334134,"5,763,015,814.52","866.90","626.65","9.97","9.66"
"APOLLOHOSP","4,605.00","4,605.00","4,542.15","4,564.95","4,545.00","-19.95","-0.44",487075,"2,226,215,253.50","5,935.40","2,886.00","57.74","-3.84"
"MARUTI","7,781.00","7,900.00","7,730.00","7,774.80","7,739.95","-34.85","-0.45",488132,"3,820,335,810.08","9,050.00","6,400.00","12.29","7.28"
"ULTRACEMCO","6,770.00","6,816.00","6,680.05","6,743.90","6,712.00","-31.90","-0.47",412049,"2,777,408,043.52","8,269.00","5,629.20","-2.25","11.46"
"HDFCLIFE","572.00","575.65","567.00","571.80","568.35","-3.45","-0.60",4898169,"2,790,095,025.78","775.65","497.05","-17.25","9.65"
"SBILIFE","1,123.05","1,130.20","1,111.00","1,126.30","1,117.00","-9.30","-0.83",773451,"864,957,987.81","1,293.25","864.80","27.49","6.52"
"SBIN","514.40","516.40","507.70","512.40","508.00","-4.40","-0.86",13602384,"6,970,677,704.64","549.00","321.30","38.24","10.92"
