"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Apr-2021","30 D % CHNG 
 04-Mar-2022"
"NIFTY NEXT 50","42,628.20","43,000.05","42,453.25","42,403.90","42,753.25","349.35","0.82",290748619,"127,908,533,139.26","45,290.80","33,513.60","22.24","8.61"
"HAVELLS","1,187.00","1,264.95","1,183.60","1,180.30","1,257.00","76.70","6.50",3238425,"4,027,143,408.75","1,504.45","958.00","11.51","8.88"
"BAJAJHLDNG","6,010.45","6,598.00","5,951.00","5,828.45","6,150.00","321.55","5.52",793218,"4,904,220,996.42","6,598.00","3,225.15","74.57","18.18"
"ADANIGREEN","2,152.70","2,209.95","2,122.00","2,110.45","2,192.00","81.55","3.86",2206673,"4,800,992,245.91","2,209.95","874.80","81.93","11.41"
"ADANIENT","2,078.00","2,189.80","2,067.60","2,065.85","2,131.00","65.15","3.15",4970260,"10,614,984,282.00","2,189.80","1,051.05","86.58","27.92"
"SRF","2,651.00","2,755.65","2,633.05","2,636.30","2,707.00","70.70","2.68",1116588,"3,015,055,581.12","2,755.65","1,116.00","-54.08","17.99"
"MCDOWELL-N","913.00","937.65","910.90","909.10","931.00","21.90","2.41",1108730,"1,025,220,456.40","1,019.95","507.50","62.83","10.09"
"MARICO","534.75","547.85","531.85","530.10","541.50","11.40","2.15",1871307,"1,013,593,436.55","607.70","399.00","30.17","5.80"
"AMBUJACEM","314.45","317.70","310.35","311.65","316.90","5.25","1.68",5323145,"1,677,855,304.00","442.50","274.00","0.21","6.51"
"DLF","389.00","396.60","385.55","387.30","393.65","6.35","1.64",10310506,"4,048,523,285.96","449.70","231.85","32.73","18.22"
"MINDTREE","4,330.00","4,429.00","4,325.00","4,315.70","4,379.00","63.30","1.47",497864,"2,184,906,035.84","5,060.00","1,951.00","107.89","11.10"
"COLPAL","1,565.00","1,589.00","1,563.00","1,562.25","1,585.10","22.85","1.46",235997,"372,745,461.65","1,823.40","1,375.60","-0.04","8.54"
"PIIND","2,880.95","2,938.70","2,850.00","2,863.85","2,901.10","37.25","1.30",210693,"611,763,980.94","3,534.90","2,201.85","27.29","17.36"
"ACC","2,134.80","2,158.00","2,112.00","2,119.45","2,146.00","26.55","1.25",615501,"1,317,799,951.02","2,589.00","1,782.25","10.77","5.42"
"LTI","6,375.00","6,430.00","6,301.55","6,300.35","6,359.95","59.60","0.95",331358,"2,111,201,106.88","7,588.80","3,525.00","53.19","3.14"
"DABUR","548.00","553.00","546.30","544.65","548.95","4.30","0.79",2471895,"1,358,850,119.40","658.95","502.00","1.11","1.04"
"CHOLAFIN","704.80","714.90","693.30","699.55","705.00","5.45","0.78",1511295,"1,065,296,732.55","739.95","469.25","24.36","6.23"
"NAUKRI","4,709.00","4,805.00","4,659.00","4,685.15","4,719.95","34.80","0.74",446930,"2,126,470,593.50","7,465.40","4,202.45","9.90","7.96"
"JUBLFOOD","2,809.95","2,851.95","2,778.15","2,796.50","2,816.00","19.50","0.70",1098079,"3,092,311,252.69","4,590.00","2,443.30","-5.23","6.41"
"PGHH","14,399.95","14,440.00","14,215.80","14,306.80","14,400.00","93.20","0.65",4485,"64,376,030.55","16,448.70","12,251.25","13.84","-4.32"
"ZYDUSLIFE","365.00","369.80","363.50","363.40","365.20","1.80","0.50",925396,"339,546,300.32","378.60","331.55","-","-"
"PIDILITIND","2,500.00","2,527.15","2,485.00","2,495.05","2,505.00","9.95","0.40",276256,"693,659,478.08","2,764.70","1,753.00","36.85","10.35"
"MUTHOOTFIN","1,356.00","1,374.00","1,354.30","1,362.30","1,366.60","4.30","0.32",524664,"716,302,772.64","1,721.95","1,121.00","12.18","-1.01"
"SIEMENS","2,430.20","2,463.10","2,427.00","2,427.60","2,435.00","7.40","0.30",252231,"617,184,033.90","2,576.85","1,717.80","30.64","6.02"
"PNB","37.00","37.50","36.70","36.90","37.00","0.10","0.27",40801381,"1,513,731,235.10","48.20","31.75","-3.40","6.65"
"BOSCHLTD","14,970.00","15,085.00","14,832.10","14,861.30","14,900.00","38.70","0.26",22667,"339,460,765.33","19,250.00","13,225.00","4.81","0.88"
"IOC","122.80","123.50","122.35","122.30","122.60","0.30","0.25",8714130,"1,071,489,424.80","141.50","86.75","31.29","7.99"
"BERGEPAINT","722.65","728.65","720.25","722.35","724.00","1.65","0.23",266059,"192,969,932.11","872.95","620.45","-5.49","10.61"
"BIOCON","347.95","350.00","345.30","346.45","347.00","0.55","0.16",983530,"341,796,345.60","424.40","314.80","-15.61","5.56"
"ICICIGI","1,345.00","1,359.15","1,340.00","1,349.95","1,352.00","2.05","0.15",175565,"236,828,406.75","1,675.00","1,192.00","-6.10","10.81"
"DMART","4,138.75","4,148.00","4,100.00","4,106.65","4,110.00","3.35","0.08",277248,"1,143,758,899.20","5,900.00","2,676.40","40.99","-0.09"
"GLAND","3,390.00","3,394.00","3,344.90","3,388.25","3,390.00","1.75","0.05",120129,"406,342,348.95","4,350.00","2,400.00","37.29","4.30"
"GODREJCP","775.00","784.40","766.00","770.65","770.90","0.25","0.03",978539,"759,630,040.31","1,138.00","660.05","6.11","6.73"
"ICICIPRULI","511.45","512.00","501.25","509.15","508.50","-0.65","-0.13",1952597,"991,333,496.90","724.30","430.00","14.58","12.67"
"BANKBARODA","116.40","117.85","114.50","116.10","115.80","-0.30","-0.26",28093579,"3,268,968,852.44","118.80","61.75","53.57","15.46"
"INDUSTOWER","222.00","223.45","219.65","220.75","220.00","-0.75","-0.34",1889153,"418,806,328.57","332.80","194.10","-13.58","6.13"
"VEDL","425.20","425.20","417.40","421.45","418.50","-2.95","-0.70",6544847,"2,758,456,665.09","425.20","209.75","82.25","12.87"
"HDFCAMC","2,375.10","2,377.00","2,321.80","2,355.00","2,337.00","-18.00","-0.76",359559,"842,374,825.20","3,365.00","1,987.85","-20.53","13.14"
"SAIL","106.95","108.00","105.20","106.40","105.55","-0.85","-0.80",45728043,"4,876,438,505.52","151.30","83.45","26.89","9.07"
"PEL","2,278.00","2,278.95","2,240.05","2,260.70","2,242.55","-18.15","-0.80",525620,"1,187,223,150.20","3,014.95","1,607.10","27.02","10.40"
"GAIL","162.85","163.50","160.15","161.70","160.40","-1.30","-0.80",11541995,"1,868,648,990.50","171.30","125.20","15.38","4.02"
"NYKAA","1,804.00","1,824.90","1,765.00","1,789.75","1,775.00","-14.75","-0.82",578259,"1,044,006,146.37","2,573.70","1,219.05","-","18.55"
"PAYTM","613.75","629.25","603.10","610.55","604.80","-5.75","-0.94",8883858,"5,485,604,637.84","1,955.00","521.00","-","-22.21"
"NMDC","171.15","171.40","168.05","170.25","168.55","-1.70","-1.00",9234649,"1,566,381,163.38","213.20","125.00","22.97","14.96"
"BANDHANBNK","323.00","323.70","313.55","318.85","315.40","-3.45","-1.08",8860769,"2,806,648,580.75","364.80","229.55","-9.13","16.71"
"INDIGO","2,006.80","2,023.50","1,975.65","2,014.55","1,988.00","-26.55","-1.32",933228,"1,869,666,304.32","2,380.00","1,503.00","24.62","16.84"
"TORNTPHARM","2,850.00","2,850.00","2,780.05","2,830.65","2,784.15","-46.50","-1.64",126530,"353,932,246.60","3,298.50","2,475.50","11.08","3.29"
"ADANITRANS","2,457.00","2,515.00","2,382.20","2,453.50","2,410.00","-43.50","-1.77",455120,"1,121,197,222.40","2,583.90","860.10","145.55","5.61"
"LUPIN","794.50","795.50","770.60","790.55","772.05","-18.50","-2.34",1219898,"959,547,368.84","1,267.65","678.80","-23.02","12.24"
"ZOMATO","83.00","85.15","82.35","86.25","83.75","-2.50","-2.90",28433443,"2,390,683,887.44","169.00","75.50","-","7.54"
"SBICARD","859.00","864.95","836.00","876.15","839.90","-36.25","-4.14",42706728,"36,292,604,521.68","1,165.00","712.25","-10.07","17.72"
